序号,位移响应
183,2.924051157156488e-08
184,2.2211061444886025e-08
185,1.498426012388782e-08
186,7.582282182501334e-09
187,2.90221953999463e-11
188,-7.649950374202926e-09
189,-1.5427447141801815e-08
190,-2.3274727719370435e-08
191,-3.116157761135754e-08
192,-3.905639704818208e-08
193,-4.692630064585292e-08
194,-5.473722770491874e-08
195,-6.24540628910874e-08
196,-7.004076696135787e-08
197,-7.746051712753047e-08
198,-8.467585657122366e-08
199,-9.164885255443205e-08
200,-9.834126249312939e-08
201,-1.0471470729545961e-07
202,-1.1073085119511219e-07
203,-1.1635158724932848e-07
204,-1.2153922760678784e-07
205,-1.2625669759895976e-07
206,-1.304677326529702e-07
207,-1.3413707698047234e-07
208,-1.3723068295612428e-07
209,-1.3971591006547567e-07
210,-1.415617222723858e-07
211,-1.4273888264074034e-07
212,-1.4322014402506791e-07
213,-1.4298043464453544e-07
214,-1.4199703735364962e-07
215,-1.4024976143315606e-07
216,-1.3772110574270663e-07
217,-1.3439641210192437e-07
218,-1.3026400779971243e-07
219,-1.2531533617304294e-07
220,-1.1954507424622666e-07
221,-1.1295123647561678e-07
222,-1.0553526371139227e-07
223,-9.730209655561199e-08
224,-8.826023237447096e-08
225,-7.84217653056722e-08
226,-6.780240868861816e-08
227,-5.64214994419989e-08
228,-4.430198400818164e-08
229,-3.147038558863461e-08
230,-1.7956752499067902e-08
231,-3.794587580845034e-09
232,1.0979241284409056e-08
233,2.6324609398493298e-08
234,4.219826193860879e-08
235,5.855395873627557e-08
236,7.534263665055351e-08
237,9.251258893445849e-08
238,1.1000966088684064e-07
239,1.2777746097819922e-07
240,1.4575758653964345e-07
241,1.6388986300900862e-07
242,1.8211259563800594e-07
243,2.0036283247983874e-07
244,2.1857663739936647e-07
245,2.3668937177567665e-07
246,2.5463598350450875e-07
247,2.723513018508501e-07
248,2.8977033665427803e-07
249,3.0682858035168987e-07
250,3.2346231124883004e-07
251,3.3960889645327547e-07
252,3.552070928677288e-07
253,3.701973446390719e-07
254,3.845220754665017e-07
255,3.981259741853766e-07
256,4.1095627207111577e-07
257,4.229630103380859e-07
258,4.3409929635507345e-07
259,4.443215471468946e-07
260,4.535897188142921e-07
261,4.6186752057186296e-07
262,4.6912261217769963e-07
263,4.7532678361431974e-07
264,4.804561159670465e-07
265,4.844911225445786e-07
266,4.874168693854608e-07
267,4.892230744030962e-07
268,4.899041845307416e-07
269,4.894594303442221e-07
270,4.878928577575454e-07
271,4.852133365060684e-07
272,4.814345452556926e-07
273,4.7657493329761375e-07
274,4.7065765891374265e-07
275,4.637105046190594e-07
276,4.557657696115194e-07
277,4.4686013987788553e-07
278,4.3703453652530964e-07
279,4.263339430197101e-07
280,4.148072121269746e-07
281,4.0250685345802474e-07
282,3.894888026213919e-07
283,3.7581217308517665e-07
284,3.615389919394912e-07
285,3.467339208370225e-07
286,3.314639634659824e-07
287,3.157981609815635e-07
288,2.998072768839422e-07
289,2.835634728877466e-07
290,2.671399773739367e-07
291,2.506107480544191e-07
292,2.340501305102168e-07
293,2.175325142852261e-07
294,2.011319882311613e-07
295,1.8492199680292189e-07
296,1.689749989995096e-07
297,1.5336213163180573e-07
298,1.3815287857746721e-07
299,1.2341474765161374e-07
300,1.0921295668482099e-07
301,9.561013035194059e-08
302,8.266600924192522e-08
303,7.043717259605026e-08
304,5.8976776073569914e-08
305,4.8334305827823784e-08
306,3.8555350093869636e-08
307,2.9681389400484425e-08
308,2.174960642653254e-08
309,1.479271642277182e-08
310,8.838819018209325e-09
311,3.911272122686365e-09
312,2.8588528487831606e-11
313,-2.7956443000329133e-09
